,ZCTA5,urban_rural-population-total_population,urban_rural-population-urban_total_population,urban_rural-population-rural_total_population,urban_rural-percent-urban_population-of-total_population,urban_rural-percent-rural_population-of-total_population
26332,76116,46746,46746,0,1.0,0.0
26333,76117,30645,30645,0,1.0,0.0
26334,76118,13866,13866,0,1.0,0.0
26335,76119,42761,42761,0,1.0,0.0
26336,76120,15283,15283,0,1.0,0.0
26337,76123,29722,28906,816,0.973,0.027
26338,76126,19395,15524,3871,0.8,0.2
26339,76127,2003,2003,0,1.0,0.0
26340,76129,2833,2833,0,1.0,0.0
26341,76131,28374,28224,150,0.995,0.005
26342,76132,24709,24709,0,1.0,0.0
26343,76133,48394,48394,0,1.0,0.0
26344,76134,23704,23704,0,1.0,0.0
26345,76135,20684,19546,1138,0.945,0.055
26346,76137,54911,54911,0,1.0,0.0
26347,76140,26340,24789,1551,0.941,0.059
26348,76148,23331,23331,0,1.0,0.0
26349,76155,3115,3115,0,1.0,0.0
26350,76164,16748,16748,0,1.0,0.0
26351,76177,4891,4595,296,0.939,0.061
26352,76179,48058,44021,4037,0.916,0.084
26353,76180,33444,33444,0,1.0,0.0
26354,76182,28209,28209,0,1.0,0.0
26355,76201,27107,27107,0,1.0,0.0
26356,76205,18510,18510,0,1.0,0.0
26357,76207,10579,8472,2107,0.801,0.199
26358,76208,19782,18498,1284,0.935,0.065
26359,76209,24018,24018,0,1.0,0.0
26360,76210,39556,39365,191,0.995,0.005
26361,76225,3156,0,3156,0.0,1.0
26362,76226,18419,11566,6853,0.628,0.372
26363,76227,22141,17780,4361,0.803,0.197
26364,76228,1119,0,1119,0.0,1.0
26365,76230,9711,5143,4568,0.53,0.47
26366,76233,3235,0,3235,0.0,1.0
26367,76234,15587,5910,9677,0.379,0.621
26368,76238,431,0,431,0.0,1.0
26369,76239,1087,0,1087,0.0,1.0
26370,76240,26120,15746,10374,0.603,0.397
26371,76244,60388,60297,91,0.998,0.002
26372,76245,1780,0,1780,0.0,1.0
26373,76247,13098,8099,4999,0.618,0.382
26374,76248,34647,34647,0,1.0,0.0
26375,76249,7194,4173,3021,0.58,0.42
26376,76250,937,0,937,0.0,1.0
26377,76251,731,0,731,0.0,1.0
26378,76252,2863,0,2863,0.0,1.0
26379,76253,230,0,230,0.0,1.0
26380,76255,5411,2953,2458,0.546,0.454
26381,76258,6659,3579,3080,0.537,0.463
26382,76259,4618,0,4618,0.0,1.0
26383,76261,233,0,233,0.0,1.0
